entry_date,entry_price,exit_date,exit_price,qty,pnl,pct_return,holding_days,exit_reason,cash_before,cash_after
10/24/2022,0.989844675,11/3/2022,0.98344803,4390.735888,-28.08597876,-0.646227147,10,trailing_atr,8692.293076,8664.207097
3/12/2023,1.07083515,5/12/2023,1.09299323,4045.537307,89.64133929,2.069233532,61,trailing_atr,8664.207097,8753.848437
6/14/2023,1.0869432,7/5/2023,1.09023461,4026.819634,13.25391441,0.302813431,21,ma_cross,8753.848437,8767.102351
7/12/2023,1.114607025,7/23/2023,1.112653395,3932.822131,-7.6832793,-0.175275228,11,trailing_atr,8767.102351,8759.419072
10/17/2023,1.06000974,10/26/2023,1.056381545,4131.763484,-14.99084361,-0.342279402,9,trailing_atr,8759.419072,8744.428228
12/20/2023,1.098478965,1/3/2024,1.09599173,3980.243822,-9.899801743,-0.226425364,14,trailing_atr,8744.428228,8734.528427
2/25/2024,1.08376161,3/22/2024,1.086246605,4029.727731,10.01385326,0.229293507,26,trailing_atr,8734.528427,8744.54228
5/2/2024,1.07361654,6/9/2024,1.07744101,4072.46999,15.5750393,0.356223089,38,trailing_atr,8744.54228,8760.117319
7/4/2024,1.0819407,7/30/2024,1.08301822,4048.335236,4.362162184,0.09959141,26,trailing_atr,8760.117319,8764.479481
8/7/2024,1.09420683,9/1/2024,1.10440752,4004.946433,40.85321703,0.932245141,25,trailing_atr,8764.479481,8805.332698
9/19/2024,1.118428935,10/2/2024,1.10772586,3936.473934,-42.13237575,-0.956974079,13,trailing_atr,8805.332698,8763.200323
11/6/2024,1.093936695,11/7/2024,1.081928765,4005.35075,-48.09597143,-1.09768052,1,trailing_atr,8763.200323,8715.104351
12/6/2024,1.06351149,12/15/2024,1.050544465,4097.324962,-53.13011522,-1.219265153,9,trailing_atr,8715.104351,8661.974236
1/23/2025,1.04430189,2/2/2025,1.02646651,4147.255846,-73.96788396,-1.707875871,10,trailing_atr,8661.974236,8588.006352
2/18/2025,1.04914431,3/27/2025,1.08155895,4092.862283,132.6686575,3.08962644,37,ma_cross,8588.006352,8720.675009
4/6/2025,1.10061003,4/21/2025,1.156711355,3961.74611,222.2592061,5.097293635,15,take_profit,8720.675009,8942.934215
5/26/2025,1.142420925,7/15/2025,1.168665375,3914.027667,102.7215034,2.29726622,50,ma_cross,8942.934215,9045.655719
7/29/2025,1.160469945,8/1/2025,1.159110155,3897.410596,-5.299659954,-0.117175805,3,ma_cross,9045.655719,9040.356059
8/15/2025,1.172095755,8/28/2025,1.16913514,3856.492108,-11.41758838,-0.252591564,13,ma_cross,9040.356059,9028.938471
9/1/2025,1.17420681,9/3/2025,1.1676159,3844.69686,-25.34005098,-0.561307424,2,ma_cross,9028.938471,9003.59842
9/7/2025,1.172555985,9/21/2025,1.174182615,3839.304278,6.245127518,0.138725146,14,trailing_atr,9003.59842,9009.843547
